,name,ward,endorsed,vision,expertise
25,"ROSARIO, Damien",River Gum,No,"My vision for Casey Council is to create a connected community by fostering stronger ties between Council, groups, services, and residents. We build trust through transparency, honesty and by finding common ground. A stronger, connected community where residents look out for each other, enhances overall community safety, well-being, and engagement.","With nearly 8 years as a Councillor for the River Gum Ward, I have a deep understanding of Council operations, and the skills needed to effectively represent our community. My commitment as a volunteer in various community organisations has further enriched my abilities. I am ready to serve without delay."
52,"SMITH, Wayne",River Gum,No,"I'm very aware of hardships our residents are experiencing in our economic crisis - I'll do my best to ensure that Council manages budgets responsibly while ensuring that basic services & programs are maintained. I'm committed to supporting equality and recognition of all, regardless of race, faith, gender, sexuality & ability!","Casey has been without democratically elected representation for far too long. I commit to be a true representative of River Gum Ward residents and promise to listen to all views, be visible in the community and approachable/contactable by residents. I'm a teacher, a parent & grand-parent and active community volunteer."
82,"YOUSAFI, Nazir",River Gum,No,"My vision for the area is improving community services, more programs for youth, enhancing local infrastructure, and ensuring sustainable development. I will focus on increasing public safety, supporting local businesses, and creating more recreational spaces. My goal is to build a vibrant, inclusive, and thriving community.","With 12 years of experience as a case manager in community services, I understand the challenges our families and youth face. My involvement as a board member in local government and not-for-profit organizations has equipped me with the skills and insight needed to effectively serve as a dedicated councilor."
12,"DIZON, Jennifer",Tooradin,No,"My vision for the City of Casey is a vibrant, inclusive community with sustainable growth, improved infrastructure, and safer roads. I’m committed to enhancing education, public health and community safety, while ensuring the council listens to residents and makes decisions that reflect their needs.","As a lawyer with extensive experience in legal matters and government processes, I bring strong problem solving skills, attention to detail and a deep understanding of policy. I’m also passionate about community service, advocating for education, infrastructure, and safety improvements that benefit everyone in our council."
76,"GAI, Andrew",Tooradin,No,"My vision: a safer, empowered and thriving community. We can achieve this through consulting with all communities and working with service providers. I will continue to advocate for access to essential services and opportunities to ensure everyone has a fair go at life regardless of where or who they are.",My lived experience and work experience in community services gave me a better understanding of the issues in Casey. My wife and I have a mortgage and raising our 3 children who attend kinder and school locally. I am connected with different communities. I have served in several leadership roles.
47,"KAUR, Kuldeep",Tooradin,No,"As a candidate for the Tooradin Ward of Casey Council, my vision for the municipality is to create a community that is inclusive, sustainable, and thriving. My goal is to build a municipality where every resident feels valued, supported, and proud to call Casey home.",My expertise and attributes are: 1. Healthcare Experience. 2. Community Leadership. 3. Problem-Solving and Decision. 4. Strong Communication Skills: 5. Passion for Community Services. 6. Cultural Awareness. 7. Commitment to Inclusivity. These attributes make me well-equipped to undertake the role of Councillor and work towards the betterment of our community.
13,"SINGH, Ravneet",Tooradin,No,"My vision is to reinstate basic council services. Making the community vibrant. Protect natural spaces, develop more youth programmes, and make our neighbourhood safer.","Problem solving skills solution oriented approach communication skills diligence and professionalism understanding local needs, concerns, and priorities helps in making informed decisions"
21,"TASSONE, Anthony",Tooradin,No,"Doing the basics brilliantly. To focus on what matters most in our community with: roads and public transport, value for the rates paid, clean parks and reserves and a safe community. Ensuring residents have a voice and are heard on what is important to them.","Over 10 years as a Board Director for: member associations, insurance, superannuation and health technology organizations including global and ASX-listed companies. I'm highly experienced in financial and risk management, governance and driving positive outcomes. Also experienced in political advocacy to State and Federal governments securing funding for those I represent."
35,"YAGHOBI, Ali",Tooradin,No,"My vision for Casey is to become the most liveable City in Australia where every resident feels that they belong and can thrive in this community, and to ensure services and programs are accessible to everyone and most of the jobs for our community members are created in our city.","My personal values are service, integrity, hard work and being fair. I have worked in employment; aged care services and disability. As well, I currently work with a Council. I am confident that I can bring my personal values and experiences to serve our community as your new Councillor."
17,"ALAM, Ezatullah",Waratah,No,"I envision a City of Casey where every neighbourhood thrives with safety, vibrancy, and inclusivity. By addressing governance issues, enhancing public services, and fostering community engagement, we will build a connected, empowered community with a transparent and accountable council where every resident's voice is valued and heard.","As a lawyer by profession and a long time public servant, I am very well aware of the issues we are facing as a community. If elected, I would strongly advocate for lower crime rate, integrity, transparency, and improved parks."
39,"DILBAZ, Burak",Waratah,No,"As your council representative, my vision is to cultivate a vibrant, inclusive, and safe community where every resident feels valued and empowered. Together, we will build a future that prioritizes; quality education, strong community ties and sustainable development.","I have held leadership positions in all of my schooling and working life. I continue to serve in the capacity as a consultant to many sporting and business groups, leveraging my experience in process engineering, scaling, corporate and professional governance."
51,"KOOMEN, Stefan",Waratah,No,"My vision is for better local infrastructure and programs to connect our community and make it safer. We deserve improved services like rubbish removal, park maintenance, and road repairs—for clean and accessible public spaces. As a genuine local, I will put our suburbs first, ensuring we are no longer overlooked.","My extensive volunteer work in the community, chairing local groups, and leading important causes like the 'Save Doveton Pool' campaign, demonstrates my commitment to serving others. As a trusted Justice of the Peace with senior experience working in government and business, I'm ready to effectively represent our suburbs."
73,"SINGH, Jamel Kaur",Waratah,No,"My vision for Casey is a community where everyone feels safe, supported, and valued. I want to see our neighborhoods become vibrant and inclusive, with access to services addressing issues like crime, healthcare, and housing. Where local voices are heard, streets maintained, and every resident has the opportunity to thrive.","With grassroots community engagement, a Bachelor of Business, and an MBA, I bring a strong skillset and experience. I've served on boards across finance, business, not-for-profits, community sports, interfaith, and schools, providing me with hands-on expertise and motivation to effectively serve as your councillor."
29,"YAWARI, Nasser",Waratah,No,"My vision for Casey is a safer, more inclusive community where local jobseekers are prioritised, youth crime is reduced through partnerships with police, and the cost-of-living is managed by freezing council rates. I will also advocate for a fair budget to support families, seniors, and community programs.","My background as a professional advocate, mentor, and public speaker with Jesuit Social Services has allowed me to support over 1,800 people, equipping me with strong communication, and leadership skills. My qualifications in human rights and humanities, along with local community engagement, prepare me to represent Casey's diverse needs effectively."
